Name;Edition;Qty;Rarity;Color;Cost;Type;P/T;Text;Comment
Krenko's Command;M13;5;C;R;1R;Sorcery;;Put two 1/1 red Goblin creature tokens onto the battlefield.;
Mugging;GTC;9;C;R;R;Sorcery;;Mugging deals 2 damage to target creature. That creature canﾒt block this turn.;
Volcanic Strength;M13;4;C;R;1R;Enchantment - Aura;;"Enchant creature
Enchanted creature gets +2/+2 and has mountainwalk. #(Itﾒs unblockable as long as defending player controls a Mountain.)#";
Pursuit of Flight;RTR;2;C;R;1R;Enchantment - Aura;;"Enchant creature
Enchanted creature gets +2/+2 and has ﾓ%U: This creature gains flying until end of turn.ﾔ";
Serpent's Gift;M13;5;C;G;2G;Instant;;Target creature gains deathtouch until end of turn. #(Any amount of damage it deals to a creature is enough to destroy it.)#;
Titanic Growth;M13;5;C;G;1G;Instant;;Target creature gets +4/+4 until end of turn.;
Naturalize;M13;7;C;G;1G;Instant;;Destroy target artifact or enchantment.;
Druid's Deliverance;RTR;4;C;G;1G;Instant;;Prevent all combat damage that would be dealt to you this turn. Populate. #(Put a token onto the battlefield thatﾒs a copy of a creature token you control.)#;
Giant Growth;RTR;2;C;G;G;Instant;;Target creature gets +3/+3 until end of turn.;
Bountiful Harvest;M13;4;C;G;4G;Sorcery;;You gain 1 life for each land you control.;
Seek the Horizon;RTR;1;U;G;3G;Sorcery;;Search your library for up to three basic land cards, reveal them, and put them into your hand. Then shuffle your library.;
Ranger's Path;M13;5;C;G;3G;Sorcery;;Search your library for up to two Forest cards and put them onto the battlefield tapped. Then shuffle your library.;
Fungal Sprouting;M13;4;U;G;3G;Sorcery;;Put X 1/1 green Saproling creature tokens onto the battlefield, where X is the greatest power among creatures you control.;
Revive;M13;4;U;G;1G;Sorcery;;Return target green card from your graveyard to your hand.;
Farseek;M13;5;C;G;1G;Sorcery;;Search your library for a Plains, Island, Swamp, or Mountain card and put it onto the battlefield tapped. Then shuffle your library.;
Prey Upon;M13;5;C;G;G;Sorcery;;Target creature you control fights target creature you donﾒt control. #(Each deals damage equal to its power to the other.)#;
Death's Presence;RTR;1;R;G;5G;Enchantment;;Whenever a creature you control dies, put X +1/+1 counters on target creature you control, where X is the power of the creature that died.;
Alpha Authority;GTC;2;U;G;1G;Enchantment - Aura;;"Enchant creature
Enchanted creature has hexproof and canﾒt be blocked by more than one creature.";
Rancor;M13;4;U;G;G;Enchantment - Aura;;"Enchant creature
Enchanted creature gets +2/+0 and has trample.
When Rancor is put into a graveyard from the battlefield, return Rancor to its ownerﾒs hand.";
Forced Adaptation;GTC;3;C;G;G;Enchantment - Aura;;"Enchant creature
At the beginning of your upkeep, put a +1/+1 counter on enchanted creature.";
Reliquary Tower;M13;4;U;Lnd;;Land;;"You have no maximum hand size.
%T: Add %1 to your mana pool.";
Evolving Wilds;M13;9;C;Lnd;;Land;;%T, Sacrifice Evolving Wilds: Search your library for a basic land card and put it onto the battlefield tapped. Then shuffle your library.;
Gruul Keyrune;GTC;3;U;Art;3;Artifact;;"%T: Add %R or %G to your mana pool.
%R%G: Gruul Keyrune becomes a 3/2 red and green Beast artifact creature with trample until end of turn.";
Izzet Keyrune;RTR;1;U;Art;3;Artifact;;"%T: Add %U or %R to your mana pool.
%U%R: Until end of turn, Izzet Keyrune becomes a 2/1 blue and red Elemental artifact creature.
Whenever Izzet Keyrune deals combat damage to a player, you may draw a card. If you do, discard a card.";
Boros Keyrune;GTC;5;U;Art;3;Artifact;;"%T: Add %R or %W to your mana pool.
%R%W: Boros Keyrune becomes a 1/1 red and white Soldier artifact creature with double strike until end of turn. #(It deals both first-strike and regular combat damage.)#";
Jayemdae Tome;M13;5;U;Art;4;Artifact;;%4, %T: Draw a card.;
Clock of Omens;M13;4;U;Art;4;Artifact;;Tap two untapped artifacts you control: Untap target artifact.;
Gem of Becoming;M13;4;U;Art;3;Artifact;;%3, %T, Sacrifice Gem of Becoming: Search your library for an Island card, a Swamp card, and a Mountain card. Reveal those cards and put them into your hand. Then shuffle your library.;
Razortip Whip;GTC;5;C;Art;2;Artifact;;%1, %T: Razortip Whip deals 1 damage to target opponent.;
Elixir of Immortality;M13;4;U;Art;1;Artifact;;%2, %T: You gain 5 life. Shuffle Elixir of Immortality and your graveyard into their ownerﾒs library.;
Tormod's Crypt;M13;4;U;Art;0;Artifact;;%T, Sacrifice Tormodﾒs Crypt: Exile all cards from target playerﾒs graveyard.;
Riot Gear;GTC;6;C;Art;2;Artifact - Equipment;;"Equipped creature gets +1/+2.
Equip %2 #(%2: Attach to target creature you control. Equip only as a sorcery.)#";
Ring of Xathrid;M13;4;U;Art;2;Artifact - Equipment;;"%2: Regenerate equipped creature. #(The next time that creature would be destroyed this turn, it isnﾒt. Instead tap it, remove all damage from it, and remove it from combat.)#
At the beginning of your upkeep, put a +1/+1 counter on equipped creature if itﾒs black.
Equip %1 #(%1: Attach to target creature you control. Equip only as a sorcery.)#";
Ring of Valkas;M13;4;U;Art;2;Artifact - Equipment;;"Equipped creature has haste. #(It can attack and %T no matter when it came under your control.)#
At the beginning of your upkeep, put a +1/+1 counter on equipped creature if itﾒs red.
Equip %1 #(%1: Attach to target creature you control. Equip only as a sorcery.)#";
Ring of Thune;M13;4;U;Art;2;Artifact - Equipment;;"Equipped creature has vigilance. #(Attacking doesnﾒt cause it to tap.)#
At the beginning of your upkeep, put a +1/+1 counter on equipped creature if itﾒs white.
Equip %1 #(%1: Attach to target creature you control. Equip only as a sorcery.)#";
Ring of Kalonia;M13;4;U;Art;2;Artifact - Equipment;;"Equipped creature has trample. #(If it would assign enough damage to its blockers to destroy them, you may have it assign the rest of its damage to defending player or planeswalker.)#
At the beginning of your upkeep, put a +1/+1 counter on equipped creature if itﾒs green.
Equip %1 #(%1: Attach to target creature you control. Equip only as a sorcery.)#";
Ring of Evos Isle;M13;4;U;Art;2;Artifact - Equipment;;"%2: Equipped creature gains hexproof until end of turn. #(It canﾒt be the target of spells or abilities your opponents control.)#
At the beginning of your upkeep, put a +1/+1 counter on equipped creature if itﾒs blue.
Equip %1 #(%1: Attach to target creature you control. Equip only as a sorcery.)#";
Signal the Clans;GTC;2;R;Gld;RG;Instant;;Search your library for three creature cards and reveal them. If you reveal three cards with different names, choose one of them at random and put that card into your hand. Shuffle the rest into your library.;
Primal Visitation;GTC;6;C;Gld;3RG;Enchantment - Aura;;"Enchant creature
Enchanted creature gets +3/+3 and has haste.";
Golgari Charm;RTR;2;U;Gld;BG;Instant;;"Choose one ﾗ All creatures get -1/-1 until end of turn; or destroy target enchantment; or regenerate each creature you control.";
Grisly Salvage;RTR;2;C;Gld;BG;Instant;;Reveal the top five cards of your library. You may put a creature or land card from among them into your hand. Put the rest into your graveyard.;
Soul Ransom;GTC;1;R;Gld;2UB;Enchantment - Aura;;"Enchant creature
You control enchanted creature.
Discard two cards: Soul Ransomﾒs controller sacrifices it, then draws two cards. Only any opponent may activate this ability.";
Common Bond;RTR;1;C;Gld;1GW;Instant;;"Put a +1/+1 counter on target creature.
Put a +1/+1 counter on target creature.";
Call of the Conclave;RTR;2;U;Gld;GW;Sorcery;;Put a 3/3 green Centaur creature token onto the battlefield.;
Fall of the Gavel;RTR;1;U;Gld;3WU;Instant;;Counter target spell. You gain 5 life.;
Sundering Growth;RTR;1;C;Gld;%A%A;Instant;;Destroy target artifact or enchantment, then populate. #(Put a token onto the battlefield thatﾒs a copy of a creature token you control.)#;
Skyblinder Staff;GTC;4;C;Art;1;Artifact - Equipment;;"Equipped creature gets +1/+0 and canﾒt be blocked by creatures with flying.
Equip %3 #(%3: Attach to target creature you control. Equip only as a sorcery.)#";
Transguild Promenade;RTR;4;C;Lnd;;Land;;"Transguild Promenade enters the battlefield tapped.
When Transguild Promenade enters the battlefield, sacrifice it unless you pay %1.
%T: Add one mana of any color to your mana pool.";
Purge the Profane;GTC;6;C;Gld;2WB;Sorcery;;Target opponent discards two cards and you gain 2 life.;
Paranoid Delusions;GTC;1;C;Gld;UB;Sorcery;;"Target player puts the top three cards of his or her library into his or her graveyard.
Cipher #(Then you may exile this spell card encoded on a creature you control. Whenever that creature deals combat damage to a player, its controller may cast a copy of the encoded card without paying its mana cost.)#";
Annihilating Fire;RTR;5;C;R;1RR;Instant;;Annihilating Fire deals 3 damage to target creature or player. If a creature dealt damage this way would die this turn, exile it instead.;
Selesnya Guildgate;DGM;8;C;Lnd;;Land - Gate;;"Selesnya Guildgate enters the battlefield tapped.
%T: Add %G or %W to your mana pool.";
Contaminated Ground;GTC;5;C;B;1B;Enchantment - Aura;;"Enchant land
Enchanted land is a Swamp.
Whenever enchanted land becomes tapped, its controller loses 2 life.";
Simic Cluestone;DGM;9;C;Art;3;Artifact;;"%T: Add %G or %U to your mana pool.
%G%U, %T, Sacrifice Simic Cluestone: Draw a card.";
Ground Assault;GTC;1;U;Gld;RG;Sorcery;;Ground Assault deals damage to target creature equal to the number of lands you control.;
Putrefy;MPR;1;;Gld;1BG;Instant;;Destroy target artifact or creature. It canﾒt be regenerated.;
Mending Touch;DGM;13;C;G;G;Instant;;Regenerate target creature.;
Pit Fight;GTC;1;C;Gld;1%L;Instant;;Target creature you control fights another target creature. #(Each deals damage equal to its power to the other.)#;
Martial Glory;GTC;4;C;Gld;RW;Instant;;"Target creature gets +3/+0 until end of turn.
Target creature gets +0/+3 until end of turn.";
Gruul War Chant;DGM;7;U;Gld;2RG;Enchantment;;Each attacking creature you control gets +1/+0 and canﾒt be blocked except by two or more creatures.;
Krasis Incubation;DGM;7;U;Gld;2GU;Enchantment - Aura;;"Enchant creature
Enchanted creature canﾒt attack or block, and its activated abilities canﾒt be activated.
%1%G%U, Return Krasis Incubation to its ownerﾒs hand: Put two +1/+1 counters on enchanted creature.";
Punish the Enemy;DGM;13;C;R;4R;Instant;;Punish the Enemy deals 3 damage to target player and 3 damage to target creature.;
Aerial Predation;RTR;4;C;G;2G;Instant;;Destroy target creature with flying. You gain 2 life.;
Beck/Call;DGM;2;R;Gld;GU/4WU;Sorcery/Sorcery;;"Whenever a creature enters the battlefield this turn, you may draw a card.
//
Put four 1/1 white Bird creature tokens with flying onto the battlefield.
//
Fuse #(You may cast one or both halves of this card from your hand.)#";
Fervor;M13;1;R;R;2R;Enchantment;;Creatures you control have haste. #(They can attack and %T as soon as they come under your control.)#;
Martial Law;RTR;4;R;W;2WW;Enchantment;;At the beginning of your upkeep, detain target creature an opponent controls. #(Until your next turn, that creature canﾒt attack or block and its activated abilities canﾒt be activated.)#;
Rootborn Defenses;RTR;6;C;W;2W;Instant;;Populate. Creatures you control are indestructible this turn. #(To populate, put a token onto the battlefield thatﾒs a copy of a creature token you control. Damage and effects that say ﾓdestroyﾔ donﾒt destroy indestructible creatures.)#;
Azorius Cluestone;DGM;16;C;Art;3;Artifact;;"%T: Add %W or %U to your mana pool.
%W%U, %T, Sacrifice Azorius Cluestone: Draw a card.";
Essence Backlash;RTR;4;C;Gld;2UR;Instant;;Counter target creature spell. Essence Backlash deals damage equal to that spellﾒs power to its controller.;
Boros Charm;GTC;2;U;Gld;RW;Instant;;"Choose one ﾗ Boros Charm deals 4 damage to target player; or permanents you control are indestructible this turn; or target creature gains double strike until end of turn.";
Legion's Initiative;DGM;2;M;Gld;RW;Enchantment;;"Red creatures you control get +1/+0.
White creatures you control get +0/+1.
%R%W, Exile Legionﾒs Initiative: Exile all creatures you control. At the beginning of the next combat, return those cards to the battlefield under their ownerﾒs control and those creatures gain haste until end of turn.";
Warleader's Helix;DGM;5;U;Gld;2RW;Instant;;Warleaderﾒs Helix deals 4 damage to target creature or player and you gain 4 life.;
Executioner's Swing;GTC;2;C;Gld;WB;Instant;;Target creature that dealt damage this turn gets -5/-5 until end of turn.;
Dramatic Rescue;RTR;6;C;Gld;WU;Instant;;Return target creature to its ownerﾒs hand. You gain 2 life.;
Growing Ranks;RTR;1;R;Gld;2%A%A;Enchantment;;At the beginning of your upkeep, populate. #(Put a token onto the battlefield thatﾒs a copy of a creature token you control.)#;
Awe for the Guilds;DGM;13;C;R;2R;Sorcery;;Monocolored creatures canﾒt block this turn.;
Deviant Glee;RTR;5;C;B;B;Enchantment - Aura;;"Enchant creature
Enchanted creature gets +2/+1 and has ﾓ%R: This creature gains trample until end of turn.ﾔ";
Destroy the Evidence;RTR;4;C;B;4B;Sorcery;;Destroy target land. Its controller reveals cards from the top of his or her library until he or she reveals a land card, then puts those cards into his or her graveyard.;
Mindstatic;DGM;14;C;U;3U;Instant;;Counter target spell unless its controller pays %6.;
Izzet Guildgate;RTR;14;C;Lnd;;Land - Gate;;"Izzet Guildgate enters the battlefield tapped.
%T: Add %U or %R to your mana pool.";
Steam Vents;RTR;2;R;Lnd;;Land - Island Mountain;;"#(%T: Add %U or %R to your mana pool.)#
As Steam Vents enters the battlefield, you may pay 2 life. If you donﾒt, Steam Vents enters the battlefield tapped.";
Dimir Guildgate;GTC;10;C;Lnd;;Land - Gate;;"Dimir Guildgate enters the battlefield tapped.
%T: Add %U or %B to your mana pool.";
Simic Guildgate;GTC;13;C;Lnd;;Land - Gate;;"Simic Guildgate enters the battlefield tapped.
%T: Add %G or %U to your mana pool.";
Golgari Guildgate;DGM;13;C;Lnd;;Land - Gate;;"Golgari Guildgate enters the battlefield tapped.
%T: Add %B or %G to your mana pool.";
Tablet of the Guilds;RTR;1;U;Art;2;Artifact;;"As Tablet of the Guilds enters the battlefield, choose two colors.
Whenever you cast a spell, if itﾒs at least one of the chosen colors, you gain 1 life for each of the chosen colors it is.";
Cathars' Crusade;AVR;1;R;W;3WW;Enchantment;;Whenever a creature enters the battlefield under your control, put a +1/+1 counter on each creature you control.;
Honor of the Pure;M12;5;R;W;1W;Enchantment;;White creatures you control get +1/+1.;
Endless Ranks of the Dead;ISD;1;R;B;2BB;Enchantment;;At the beginning of your upkeep, put X 2/2 black Zombie creature tokens onto the battlefield, where X is half the number of Zombies you control, rounded down.;
Call to the Grave;SC;1;R;B;4B;Enchantment;;"At the beginning of each playerﾒs upkeep, that player sacrifices a non-Zombie creature.
At the beginning of the end step, if no creatures are on the battlefield, sacrifice Call to the Grave.";
Warren Weirding;MOR;2;U;B;1B;Tribal Sorcery - Goblin;;Target player sacrifices a creature. If a Goblin is sacrificed this way, that player puts two 1/1 black Goblin Rogue creature tokens onto the battlefield, and those tokens gain haste until end of turn.;
Boggart Shenanigans;LRW;4;U;R;2R;Tribal Enchantment - Goblin;;Whenever another Goblin you control is put into a graveyard from the battlefield, you may have Boggart Shenanigans deal 1 damage to target player.;
Blaze;10E;2;U;R;XR;Sorcery;;Blaze deals X damage to target creature or player.;
Goblin War Strike;P2;2;C;R;R;Sorcery;;Goblin War Strike deals damage equal to the number of Goblins you control to target player.;
Door of Destinies;M14;1;R;Art;4;Artifact;;"As Door of Destinies enters the battlefield, choose a creature type.
Whenever you cast a spell of the chosen type, put a charge counter on Door of Destinies.
Creatures you control of the chosen type get +1/+1 for each charge counter on Door of Destinies.";
Empty the Warrens;MMA;1;C;R;3R;Sorcery;;"Put two 1/1 red Goblin creature tokens onto the battlefield.
Storm #(When you cast this spell, copy it for each spell cast before it this turn.)#";
Increasing Vengeance;DKA;2;R;R;RR;Instant;;"Copy target instant or sorcery spell you control. If Increasing Vengeance was cast from a graveyard, copy that spell twice instead. You may choose new targets for the copies.
Flashback %3%R%R #(You may cast this card from your graveyard for its flashback cost. Then exile it.)#";
Memory Plunder;SHM;1;R;Gld;%V%V%V%V;Instant;;You may cast target instant or sorcery card from an opponentﾒs graveyard without paying its mana cost.;
Inexorable Tide;SOM;1;R;U;3UU;Enchantment;;Whenever you cast a spell, proliferate. #(You choose any number of permanents and/or players with counters on them, then give each another counter of a kind already there.)#;
Prison Term;HOP;1;U;W;1WW;Enchantment - Aura;;"Enchant creature
Enchanted creature canﾒt attack or block, and its activated abilities canﾒt be activated.
Whenever a creature enters the battlefield under an opponentﾒs control, you may attach Prison Term to that creature.";
Vivid Crag;LRW;1;U;Lnd;;Land;;"Vivid Crag enters the battlefield tapped with two charge counters on it.
%T: Add %R to your mana pool.
%T, Remove a charge counter from Vivid Crag: Add one mana of any color to your mana pool.";
Encroaching Wastes;M14;2;U;Lnd;;Land;;"%T: Add %1 to your mana pool.
%4, %T, Sacrifice Encroaching Wastes: Destroy target nonbasic land.";
Blinding Beam;MMA;3;C;W;2W;Instant;;"Choose one ﾗ Tap two target creatures; or creatures donﾒt untap during target playerﾒs next untap step.
Entwine %1 #(Choose both if you pay the entwine cost.)#";
Feudkiller's Verdict;MOR;3;R;W;4WW;Tribal Sorcery - Giant;;You gain 10 life. Then if you have more life than an opponent, put a 5/5 white Giant Warrior creature token onto the battlefield.;
Seafarer's Quay;LG;3;U;Lnd;;Land;;Blue legendary creatures you control have ﾓbands with other legendary creatures.ﾔ #(Any legendary creatures can attack in a band as long as at least one has ﾓbands with other legendary creatures.ﾔ Bands are blocked as a group. If at least two legendary creatures you control, one of which has ﾓbands with other legendary creatures,ﾔ are blocking or being blocked by the same creature, you divide that creatureﾒs combat damage, not its controller, among any of the creatures itﾒs being blocked by or is blocking.)#;
Glacial Ray;MMA;2;C;R;1R;Instant - Arcane;;"Glacial Ray deals 2 damage to target creature or player.
Splice onto Arcane %1%R #(As you cast an Arcane spell, you may reveal this card from your hand and pay its splice cost. If you do, add this cardﾒs effects to that spell.)#";
Lava Spike;CHK;3;C;R;R;Sorcery - Arcane;;Lava Spike deals 3 damage to target player.;
Awaken the Ancient;M14;1;R;R;1RRR;Enchantment - Aura;;"Enchant Mountain
Enchanted Mountain is a 7/7 red Giant creature with haste. Itﾒs still a land.";
Kodama's Reach;MMA;1;C;G;2G;Sorcery - Arcane;;Search your library for up to two basic land cards, reveal those cards, and put one onto the battlefield tapped and the other into your hand. Then shuffle your library.;
Oath of the Ancient Wood;M14;1;R;G;2G;Enchantment;;Whenever Oath of the Ancient Wood or another enchantment enters the battlefield under your control, you may put a +1/+1 counter on target creature.;
Moldervine Cloak;RAV;1;U;G;2G;Enchantment - Aura;;"Enchant creature
Enchanted creature gets +3/+3.
Dredge 2 #(If you would draw a card, instead you may put exactly two cards from the top of your library into your graveyard. If you do, return this card from your graveyard to your hand. Otherwise, draw a card.)#";
Pyrite Spellbomb;MR;1;C;Art;1;Artifact;;"%R, Sacrifice Pyrite Spellbomb: Pyrite Spellbomb deals 2 damage to target creature or player.
%1, Sacrifice Pyrite Spellbomb: Draw a card.";
Dispeller's Capsule;ALA;1;C;W;W;Artifact;;%2%W, %T, Sacrifice Dispellerﾒs Capsule: Destroy target artifact or enchantment.;
Sword of Light and Shadow;MMA;1;M;Art;3;Artifact - Equipment;;"Equipped creature gets +2/+2 and has protection from white and from black.
Whenever equipped creature deals combat damage to a player, you gain 3 life and you may return up to one target creature card from your graveyard to your hand.
Equip %2";
Breaking/Entering;DGM;5;R;Gld;UB/4BR;Sorcery/Sorcery;;"Target player puts the top eight cards of his or her library into his or her graveyard.
//
Put a creature card from a graveyard onto the battlefield under your control. It gains haste until end of turn.
//
Fuse #(You may cast one or both halves of this card from your hand.)#";
Dreadbore;RTR;2;R;Gld;BR;Sorcery;;Destroy target creature or planeswalker.;
Electrolyze;GP;1;U;Gld;1UR;Instant;;"Electrolyze deals 2 damage divided as you choose among one or two target creatures and/or players.
Draw a card.";
Epic Experiment;RTR;3;M;Gld;XUR;Sorcery;;Exile the top X cards of your library. For each instant and sorcery card with converted mana cost X or less among them, you may cast that card without paying its mana cost. Then put all cards exiled this way that werenﾒt cast into your graveyard.;
Worm Harvest;MMA;1;U;Gld;2%Q%Q%Q;Sorcery;;"Put a 1/1 black and green Worm creature token onto the battlefield for each land card in your graveyard.
Retrace #(You may cast this card from your graveyard by discarding a land card in addition to paying its other costs.)#";
Pyromancer's Gauntlet;M14;1;R;Art;5;Artifact;;If a red instant or sorcery spell you control or a red planeswalker you control would deal damage to a permanent or player, it deals that much damage plus 2 to that permanent or player instead.;
Trading Post;M14;1;R;Art;4;Artifact;;"%1, %T, Discard a card: You gain 4 life.
%1, %T, Pay 1 life: Put a 0/1 white Goat creature token onto the battlefield.
%1, %T, Sacrifice a creature: Return target artifact card from your graveyard to your hand.
%1, %T, Sacrifice an artifact: Draw a card.";
Staff of the Mind Magus;M14;4;U;Art;3;Artifact;;Whenever you cast a blue spell or an Island enters the battlefield under your control, you gain 1 life.;
Staff of the Flame Magus;M14;1;U;Art;3;Artifact;;Whenever you cast a red spell or a Mountain enters the battlefield under your control, you gain 1 life.;
Staff of the Death Magus;M14;1;U;Art;3;Artifact;;Whenever you cast a black spell or a Swamp enters the battlefield under your control, you gain 1 life.;
Strionic Resonator;M14;1;R;Art;2;Artifact;;%2, %T: Copy target triggered ability you control. You may choose new targets for the copy. #(A triggered ability uses the words ﾓwhen,ﾔ ﾓwhenever,ﾔ or ﾓat.ﾔ)#;
Ratchet Bomb;M14;2;R;Art;2;Artifact;;"%T: Put a charge counter on Ratchet Bomb.
%T, Sacrifice Ratchet Bomb: Destroy each nonland permanent with converted mana cost equal to the number of charge counters on Ratchet Bomb.";
Vial of Poison;M14;2;U;Art;1;Artifact;;%1, Sacrifice Vial of Poison: Target creature gains deathtouch until end of turn. #(Any amount of damage it deals to a creature is enough to destroy it.)#;
Congregate;HOP;7;C;W;3W;Instant;;Target player gains 2 life for each creature on the battlefield.;
Fortify;M14;7;C;W;2W;Instant;;"Choose one ﾗ Creatures you control get +2/+0 until end of turn; or creatures you control get +0/+2 until end of turn.";
Celestial Flare;M14;7;C;W;WW;Instant;;Target player sacrifices an attacking or blocking creature.;
Test of Faith;DS;2;U;W;1W;Instant;;Prevent the next 3 damage that would be dealt to target creature this turn, and put a +1/+1 counter on that creature for each 1 damage prevented this way.;
Show of Valor;M13;18;C;W;1W;Instant;;Target creature gets +2/+4 until end of turn.;
Otherworldly Journey;MMA;6;C;W;1W;Instant - Arcane;;Exile target creature. At the beginning of the next end step, return that card to the battlefield under its ownerﾒs control with a +1/+1 counter on it.;
Silence;M11;3;R;W;W;Instant;;Your opponents canﾒt cast spells this turn. #(Spells cast before this resolves are unaffected.)#;
Pay No Heed;TO;11;C;W;W;Instant;;Prevent all damage a source of your choice would deal this turn.;
Brave the Elements;M14;4;U;W;W;Instant;;Choose a color. White creatures you control gain protection from the chosen color until end of turn. #(They canﾒt be blocked, targeted, dealt damage, or enchanted by anything of that color.)#;
Devout Invocation;M14;1;M;W;6W;Sorcery;;Tap any number of untapped creatures you control. Put a 4/4 white Angel creature token with flying onto the battlefield for each creature tapped this way.;
Cenn's Enlistment;EVE;6;C;W;3W;Sorcery;;"Put two 1/1 white Kithkin Soldier creature tokens onto the battlefield.
Retrace #(You may cast this card from your graveyard by discarding a land card in addition to paying its other costs.)#";
Solemn Offering;M11;13;C;W;2W;Sorcery;;Destroy target artifact or enchantment. You gain 4 life.;
Hive Stirrings;M14;4;C;W;2W;Sorcery;;Put two 1/1 colorless Sliver creature tokens onto the battlefield.;
Indestructibility;M14;2;R;W;3W;Enchantment - Aura;;"Enchant permanent
Enchanted permanent has indestructible. #(Effects that say ﾓdestroyﾔ donﾒt destroy that permanent. A creature with indestructible canﾒt be destroyed by damage.)#";
Angelic Accord;M14;7;U;W;3W;Enchantment;;At the beginning of each end step, if you gained 4 or more life this turn, put a 4/4 white Angel creature token with flying onto the battlefield.;
Path of Bravery;M14;3;R;W;2W;Enchantment;;As long your life total is greater than or equal to your starting life total, creatures you control get +1/+1.Whenever one or more creatures you control attack, you gain life equal to the number of attacking creatures.;
Blessing;A;3;R;W;WW;Enchantment - Aura;;"Enchant creature
%W: Enchanted creature gets +1/+1 until end of turn.";
Pacifism;9E;5;C;W;1W;Enchantment - Aura;;"Enchant creature
Enchanted creature canﾒt attack or block.";
Divine Favor;M14;6;C;W;1W;Enchantment - Aura;;"Enchant creature
When Divine Favor enters the battlefield, you gain 3 life.
Enchanted creature gets +1/+3.";
Amrou Seekers;TSP;1;C;W;2W;Creature - Kithkin Rebel;2/2;Amrou Seekers canﾒt be blocked except by artifact creatures and/or white creatures.;
Griffin Sentinel;M12;10;C;W;2W;Creature - Griffin;1/3;"Flying
Vigilance #(Attacking doesnﾒt cause this creature to tap.)#";
Intrepid Hero;8E;1;R;W;2W;Creature - Human Soldier;1/1;%T: Destroy target creature with power 4 or greater.;
Shimmering Grotto;PC2;4;C;Lnd;;Land;;"%T: Add %1 to your mana pool.
%1, %T: Add one mana of any color to your mana pool.";
Logic Knot;MMA;4;C;U;XUU;Instant;;"Delve #(Each card you exile from your graveyard while casting this spell pays for %1.)#
Counter target spell unless its controller pays %X.";
Spell Blast;4E;8;C;U;XU;Instant;;Counter target spell with converted mana cost X. #(For example, if that spellﾒs mana cost is %3%U%U, X is 5.)#;
Opportunity;M14;2;U;U;4UU;Instant;;Target player draws four cards.;
Traumatic Visions;MMA;4;C;U;3UU;Instant;;"Counter target spell.
Basic landcycling %1%U #(%1%U, Discard this card: Search your library for a basic land card, reveal it, and put it into your hand. Then shuffle your library.)#";
Cancel;TSP;15;C;U;1UU;Instant;;Counter target spell.;
Thirst for Knowledge;MR;2;U;U;2U;Instant;;Draw three cards. Then discard two cards unless you discard an artifact card.;
Frost Breath;M14;8;C;U;2U;Instant;;Tap up to two target creatures. Those creatures donﾒt untap during their controllerﾒs next untap step.;
Erratic Mutation;MMA;2;C;U;2U;Instant;;Choose target creature. Reveal cards from the top of your library until you reveal a nonland card. That creature gets +X/-X until end of turn, where X is that cardﾒs converted mana cost. Put all cards revealed this way on the bottom of your library in any order.;
Perilous Research;CS;6;U;U;1U;Instant;;Draw two cards, then sacrifice a permanent.;
Peer Through Depths;MMA;2;C;U;1U;Instant - Arcane;;Look at the top five cards of your library. You may reveal an instant or sorcery card from among them and put it into your hand. Put the rest on the bottom of your library in any order.;
Negate;M10;10;C;U;1U;Instant;;Counter target noncreature spell.;
Essence Scatter;M14;14;C;U;1U;Instant;;Counter target creature spell.;
Echoing Truth;DS;4;C;U;1U;Instant;;Return target nonland permanent and all other permanents with the same name as that permanent to their ownersﾒ hands.;
Disperse;M14;9;C;U;1U;Instant;;Return target nonland permanent to its ownerﾒs hand.;
Quicken;GP;6;R;U;U;Instant;;"The next sorcery card you cast this turn can be cast as though it had flash. #(It can be cast any time you could cast an instant.)#
Draw a card.";
Increasing Confusion;DKA;4;R;U;XU;Sorcery;;"Target player puts the top X cards of his or her library into his or her graveyard. If Increasing Confusion was cast from a graveyard, that player puts twice that many cards into his or her graveyard instead.
Flashback %X%U #(You may cast this card from your graveyard for its flashback cost. Then exile it.)#";
Traumatize;M14;4;R;U;3UU;Sorcery;;Target player puts the top half of his or her library, rounded down, into his or her graveyard.;
Time Ebb;S00;12;;U;2U;Sorcery;;Put target creature on top of its ownerﾒs library.;
Glimpse the Future;M14;4;U;U;2U;Sorcery;;Look at the top three cards of your library. Put one of them into your hand and the rest into your graveyard.;
Divination;M13;18;C;U;2U;Sorcery;;Draw two cards.;
Tome Scour;M14;9;C;U;U;Sorcery;;Target player puts the top five cards of his or her library into his or her graveyard.;
Take Possession;MMA;2;U;U;5UU;Enchantment - Aura;;"Split second #(As long as this spell is on the stack, players canﾒt cast spells or activate abilities that arenﾒt mana abilities.)#
Enchant permanent
You control enchanted permanent.";
Dismiss into Dream;M14;2;R;U;6U;Enchantment;;Each creature your opponents control is an Illusion in addition to its other types and has ﾓWhen this creature becomes the target of a spell or ability, sacrifice it.ﾔ;
Illusionary Armor;M14;6;U;U;4U;Enchantment - Aura;;"Enchant creature
Enchanted creature gets +4/+4.
When enchanted creature becomes the target of a spell or ability, sacrifice Illusionary Armor.";
Domestication;ROE;1;U;U;2UU;Enchantment - Aura;;"Enchant creature
You control enchanted creature.
At the beginning of your end step, if enchanted creatureﾒs power is 4 or greater, sacrifice Domestication.";
