Comment,Name,Color,Text,P/T,Rarity,Edition,Cost,Stars,Qty,Type
,Murder,B,Destroy target creature.,,C,M13,1BB,3.684,7,Instant
,Cower in Fear,B,Creatures your opponents control get -1/-1 until end of turn.,,U,M13,1BB,2.676,4,Instant
,Cremate,B,"Exile target card from a graveyard.
Draw a card.",,C,RTR,B,3.782,2,Instant
,Rise from the Grave,B,Put target creature card from a graveyard onto the battlefield under your control. That creature is a black Zombie in addition to its other colors and types.,,U,M13,4B,5,4,Sorcery
,Essence Drain,B,Essence Drain deals 3 damage to target creature or player and you gain 3 life.,,C,M13,4B,1.867,4,Sorcery
,Mind Rot,B,Target player discards two cards.,,C,RTR,2B,5,9,Sorcery
,Sign in Blood,B,Target player draws two cards and loses 2 life.,,C,M13,BB,5,5,Sorcery
,Duress,B,"Target opponent reveals his or her hand. You choose a noncreature, nonland card from it. That player discards that card.",,C,M13,B,5,6,Sorcery
,Disentomb,B,Return target creature card from your graveyard to your hand.,,C,M13,B,2.819,4,Sorcery
,Mark of the Vampire,B,"Enchant creature
Enchanted creature gets +2/+2 and has lifelink. #(Damage dealt by the creature also causes its controller to gain that much life.)#",,C,M13,3B,3.300,4,Enchantment - Aura
,Blood Reckoning,B,"Whenever a creature attacks you or a planeswalker you control, that creatureﾒs controller loses 1 life.",,U,M13,3B,2.692,5,Enchantment
,Stab Wound,B,"Enchant creature
Enchanted creature gets -2/-2.
At the beginning of the upkeep of enchanted creatureﾒs controller, that player loses 2 life.",,C,RTR,2B,3.600,3,Enchantment - Aura
,Dark Favor,B,"Enchant creature
When Dark Favor enters the battlefield, you lose 1 life.
Enchanted creature gets +3/+1.",,C,M13,1B,2.946,4,Enchantment - Aura
,Illness in the Ranks,B,Creature tokens get -1/-1.,,U,GTC,B,3.381,2,Enchantment
,Crippling Blight,B,"Enchant creature
Enchanted creature gets -1/-1 and canﾒt block.",,C,M13,B,2.333,5,Enchantment - Aura
,Volcanic Geyser,R,Volcanic Geyser deals X damage to target creature or player.,,U,M13,XRR,4.045,4,Instant
,Chandra's Fury,R,Chandraﾒs Fury deals 4 damage to target player and 1 damage to each creature that player controls.,,C,M13,4R,5,4,Instant
,Trumpet Blast,R,Attacking creatures get +2/+0 until end of turn.,,C,M13,2R,2.750,4,Instant
,Massive Raid,R,Massive Raid deals damage to target creature or player equal to the number of creatures you control.,,C,GTC,1RR,3.170,8,Instant
,Searing Spear,R,Searing Spear deals 3 damage to target creature or player.,,C,M13,1R,0.000,5,Instant
,Smelt,R,Destroy target artifact.,,C,M13,R,4.255,4,Instant
,Kindled Fury,R,Target creature gets +1/+0 and gains first strike until end of turn. #(It deals combat damage before creatures without first strike.)#,,C,M13,R,5,4,Instant
,Electrickery,R,"Electrickery deals 1 damage to target creature you donﾒt control.
Overload %1%R #(You may cast this spell for its overload cost. If you do, change its text by replacing all instances of ﾓtargetﾔ with ﾓeach.ﾔ)#",,C,RTR,R,3.604,3,Instant
,Turn to Slag,R,Turn to Slag deals 5 damage to target creature. Destroy all Equipment attached to that creature.,,C,M13,3RR,2.350,5,Sorcery
,Cleaver Riot,R,Creatures you control gain double strike until end of turn. #(They deal both first-strike and regular combat damage.)#,,U,M13,4R,2.679,4,Sorcery
,Mark for Death,R,Target creature an opponent controls blocks this turn if able. Untap that creature. Other creatures that player controls canﾒt block this turn.,,U,GTC,3R,2.607,4,Sorcery
,Craterize,R,Destroy target land.,,C,M13,3R,1.181,4,Sorcery
,Mark of Mutiny,R,Gain control of target creature until end of turn. Put a +1/+1 counter on it and untap it. That creature gains haste until end of turn. #(It can attack and %T this turn.)#,,U,M13,2R,3.150,5,Sorcery
,Flames of the Firebrand,R,"Flames of the Firebrand deals 3 damage divided as you choose among one, two, or three target creatures and/or players.",,U,M13,2R,3.556,5,Sorcery
,Wild Guess,R,"As an additional cost to cast Wild Guess, discard a card.
Draw two cards.",,C,M13,RR,3.094,4,Sorcery
,Mizzium Mortars,R,"Mizzium Mortars deals 4 damage to target creature you donﾒt control.
Overload %3%R%R%R #(You may cast this spell for its overload cost. If you do, change its text by replacing all instances of ﾓtargetﾔ with ﾓeach.ﾔ)#",,R,RTR,1R,3.980,1,Sorcery
,Krenko's Command,R,Put two 1/1 red Goblin creature tokens onto the battlefield.,,C,M13,1R,5,5,Sorcery
,Mugging,R,Mugging deals 2 damage to target creature. That creature canﾒt block this turn.,,C,GTC,R,2.886,9,Sorcery
,Volcanic Strength,R,"Enchant creature
Enchanted creature gets +2/+2 and has mountainwalk. #(Itﾒs unblockable as long as defending player controls a Mountain.)#",,C,M13,1R,3.329,4,Enchantment - Aura
,Pursuit of Flight,R,"Enchant creature
Enchanted creature gets +2/+2 and has ﾓ%U: This creature gains flying until end of turn.ﾔ",,C,RTR,1R,2.500,2,Enchantment - Aura
,Serpent's Gift,G,Target creature gains deathtouch until end of turn. #(Any amount of damage it deals to a creature is enough to destroy it.)#,,C,M13,2G,1.522,5,Instant
,Titanic Growth,G,Target creature gets +4/+4 until end of turn.,,C,M13,1G,5,5,Instant
,Naturalize,G,Destroy target artifact or enchantment.,,C,M13,1G,5,7,Instant
,Druid's Deliverance,G,Prevent all combat damage that would be dealt to you this turn. Populate. #(Put a token onto the battlefield thatﾒs a copy of a creature token you control.)#,,C,RTR,1G,3.716,4,Instant
,Giant Growth,G,Target creature gets +3/+3 until end of turn.,,C,RTR,G,5,2,Instant
,Bountiful Harvest,G,You gain 1 life for each land you control.,,C,M13,4G,1.193,4,Sorcery
,Seek the Horizon,G,"Search your library for up to three basic land cards, reveal them, and put them into your hand. Then shuffle your library.",,U,RTR,3G,2.500,1,Sorcery
,Ranger's Path,G,Search your library for up to two Forest cards and put them onto the battlefield tapped. Then shuffle your library.,,C,M13,3G,2.882,5,Sorcery
,Fungal Sprouting,G,"Put X 1/1 green Saproling creature tokens onto the battlefield, where X is the greatest power among creatures you control.",,U,M13,3G,3.977,4,Sorcery
,Revive,G,Return target green card from your graveyard to your hand.,,U,M13,1G,4.138,4,Sorcery
,Farseek,G,"Search your library for a Plains, Island, Swamp, or Mountain card and put it onto the battlefield tapped. Then shuffle your library.",,C,M13,1G,3.958,5,Sorcery
,Prey Upon,G,Target creature you control fights target creature you donﾒt control. #(Each deals damage equal to its power to the other.)#,,C,M13,G,3.906,5,Sorcery
,Death's Presence,G,"Whenever a creature you control dies, put X +1/+1 counters on target creature you control, where X is the power of the creature that died.",,R,RTR,5G,3.243,1,Enchantment
,Alpha Authority,G,"Enchant creature
Enchanted creature has hexproof and canﾒt be blocked by more than one creature.",,U,GTC,1G,3.058,2,Enchantment - Aura
,Rancor,G,"Enchant creature
Enchanted creature gets +2/+0 and has trample.
When Rancor is put into a graveyard from the battlefield, return Rancor to its ownerﾒs hand.",,U,M13,G,5,4,Enchantment - Aura
,Forced Adaptation,G,"Enchant creature
At the beginning of your upkeep, put a +1/+1 counter on enchanted creature.",,C,GTC,G,3.170,3,Enchantment - Aura
,Reliquary Tower,Lnd,"You have no maximum hand size.
%T: Add %1 to your mana pool.",,U,M13,,5,4,Land
,Evolving Wilds,Lnd,"%T, Sacrifice Evolving Wilds: Search your library for a basic land card and put it onto the battlefield tapped. Then shuffle your library.",,C,M13,,5,9,Land
,Gruul Keyrune,Art,"%T: Add %R or %G to your mana pool.
%R%G: Gruul Keyrune becomes a 3/2 red and green Beast artifact creature with trample until end of turn.",,U,GTC,3,3.193,3,Artifact
,Izzet Keyrune,Art,"%T: Add %U or %R to your mana pool.
%U%R: Until end of turn, Izzet Keyrune becomes a 2/1 blue and red Elemental artifact creature.
Whenever Izzet Keyrune deals combat damage to a player, you may draw a card. If you do, discard a card.",,U,RTR,3,2.905,1,Artifact
,Boros Keyrune,Art,"%T: Add %R or %W to your mana pool.
%R%W: Boros Keyrune becomes a 1/1 red and white Soldier artifact creature with double strike until end of turn. #(It deals both first-strike and regular combat damage.)#",,U,GTC,3,2.915,5,Artifact
,Jayemdae Tome,Art,"%4, %T: Draw a card.",,U,M13,4,5,5,Artifact
,Clock of Omens,Art,Tap two untapped artifacts you control: Untap target artifact.,,U,M13,4,4.234,4,Artifact
,Gem of Becoming,Art,"%3, %T, Sacrifice Gem of Becoming: Search your library for an Island card, a Swamp card, and a Mountain card. Reveal those cards and put them into your hand. Then shuffle your library.",,U,M13,3,3.490,4,Artifact
,Razortip Whip,Art,"%1, %T: Razortip Whip deals 1 damage to target opponent.",,C,GTC,2,1.915,5,Artifact
,Elixir of Immortality,Art,"%2, %T: You gain 5 life. Shuffle Elixir of Immortality and your graveyard into their ownerﾒs library.",,U,M13,1,3.516,4,Artifact
,Tormod's Crypt,Art,"%T, Sacrifice Tormodﾒs Crypt: Exile all cards from target playerﾒs graveyard.",,U,M13,0,5,4,Artifact
,Riot Gear,Art,"Equipped creature gets +1/+2.
Equip %2 #(%2: Attach to target creature you control. Equip only as a sorcery.)#",,C,GTC,2,1.670,6,Artifact - Equipment
,Ring of Xathrid,Art,"%2: Regenerate equipped creature. #(The next time that creature would be destroyed this turn, it isnﾒt. Instead tap it, remove all damage from it, and remove it from combat.)#
At the beginning of your upkeep, put a +1/+1 counter on equipped creature if itﾒs black.
Equip %1 #(%1: Attach to target creature you control. Equip only as a sorcery.)#",,U,M13,2,3.756,4,Artifact - Equipment
,Ring of Valkas,Art,"Equipped creature has haste. #(It can attack and %T no matter when it came under your control.)#
At the beginning of your upkeep, put a +1/+1 counter on equipped creature if itﾒs red.
Equip %1 #(%1: Attach to target creature you control. Equip only as a sorcery.)#",,U,M13,2,3.720,4,Artifact - Equipment
,Ring of Thune,Art,"Equipped creature has vigilance. #(Attacking doesnﾒt cause it to tap.)#
At the beginning of your upkeep, put a +1/+1 counter on equipped creature if itﾒs white.
Equip %1 #(%1: Attach to target creature you control. Equip only as a sorcery.)#",,U,M13,2,3.780,4,Artifact - Equipment
,Ring of Kalonia,Art,"Equipped creature has trample. #(If it would assign enough damage to its blockers to destroy them, you may have it assign the rest of its damage to defending player or planeswalker.)#
At the beginning of your upkeep, put a +1/+1 counter on equipped creature if itﾒs green.
Equip %1 #(%1: Attach to target creature you control. Equip only as a sorcery.)#",,U,M13,2,3.777,4,Artifact - Equipment
,Ring of Evos Isle,Art,"%2: Equipped creature gains hexproof until end of turn. #(It canﾒt be the target of spells or abilities your opponents control.)#
At the beginning of your upkeep, put a +1/+1 counter on equipped creature if itﾒs blue.
Equip %1 #(%1: Attach to target creature you control. Equip only as a sorcery.)#",,U,M13,2,3.689,4,Artifact - Equipment
,Signal the Clans,Gld,"Search your library for three creature cards and reveal them. If you reveal three cards with different names, choose one of them at random and put that card into your hand. Shuffle the rest into your library.",,R,GTC,RG,3.277,2,Instant
,Primal Visitation,Gld,"Enchant creature
Enchanted creature gets +3/+3 and has haste.",,C,GTC,3RG,0.907,6,Enchantment - Aura
,Golgari Charm,Gld,Choose one ﾗ All creatures get -1/-1 until end of turn; or destroy target enchantment; or regenerate each creature you control.,,U,RTR,BG,3.657,2,Instant
,Grisly Salvage,Gld,Reveal the top five cards of your library. You may put a creature or land card from among them into your hand. Put the rest into your graveyard.,,C,RTR,BG,3.835,2,Instant
,Soul Ransom,Gld,"Enchant creature
You control enchanted creature.
Discard two cards: Soul Ransomﾒs controller sacrifices it, then draws two cards. Only any opponent may activate this ability.",,R,GTC,2UB,3.303,1,Enchantment - Aura
,Common Bond,Gld,"Put a +1/+1 counter on target creature.
Put a +1/+1 counter on target creature.",,C,RTR,1GW,2.895,1,Instant
,Call of the Conclave,Gld,Put a 3/3 green Centaur creature token onto the battlefield.,,U,RTR,GW,3.949,2,Sorcery
,Fall of the Gavel,Gld,Counter target spell. You gain 5 life.,,U,RTR,3WU,1.618,1,Instant
,Sundering Growth,Gld,"Destroy target artifact or enchantment, then populate. #(Put a token onto the battlefield thatﾒs a copy of a creature token you control.)#",,C,RTR,%A%A,3.921,1,Instant
,Skyblinder Staff,Art,"Equipped creature gets +1/+0 and canﾒt be blocked by creatures with flying.
Equip %3 #(%3: Attach to target creature you control. Equip only as a sorcery.)#",,C,GTC,1,2.177,4,Artifact - Equipment
,Transguild Promenade,Lnd,"Transguild Promenade enters the battlefield tapped.
When Transguild Promenade enters the battlefield, sacrifice it unless you pay %1.
%T: Add one mana of any color to your mana pool.",,C,RTR,,3.350,4,Land
,Purge the Profane,Gld,Target opponent discards two cards and you gain 2 life.,,C,GTC,2WB,2.176,6,Sorcery
,Paranoid Delusions,Gld,"Target player puts the top three cards of his or her library into his or her graveyard.
Cipher #(Then you may exile this spell card encoded on a creature you control. Whenever that creature deals combat damage to a player, its controller may cast a copy of the encoded card without paying its mana cost.)#",,C,GTC,UB,2.865,1,Sorcery
,Annihilating Fire,R,"Annihilating Fire deals 3 damage to target creature or player. If a creature dealt damage this way would die this turn, exile it instead.",,C,RTR,1RR,2.506,5,Instant
,Selesnya Guildgate,Lnd,"Selesnya Guildgate enters the battlefield tapped.
%T: Add %G or %W to your mana pool.",,C,DGM,,3.688,8,Land - Gate
,Contaminated Ground,B,"Enchant land
Enchanted land is a Swamp.
Whenever enchanted land becomes tapped, its controller loses 2 life.",,C,GTC,1B,3.156,5,Enchantment - Aura
,Simic Cluestone,Art,"%T: Add %G or %U to your mana pool.
%G%U, %T, Sacrifice Simic Cluestone: Draw a card.",,C,DGM,3,2.672,9,Artifact
,Ground Assault,Gld,Ground Assault deals damage to target creature equal to the number of lands you control.,,U,GTC,RG,3.200,1,Sorcery
,Putrefy,Gld,Destroy target artifact or creature. It canﾒt be regenerated.,,,MPR,1BG,4.305,1,Instant
,Mending Touch,G,Regenerate target creature.,,C,DGM,G,2.909,13,Instant
,Pit Fight,Gld,Target creature you control fights another target creature. #(Each deals damage equal to its power to the other.)#,,C,GTC,1%L,0.000,1,Instant
,Martial Glory,Gld,"Target creature gets +3/+0 until end of turn.
Target creature gets +0/+3 until end of turn.",,C,GTC,RW,3.214,4,Instant
,Gruul War Chant,Gld,Each attacking creature you control gets +1/+0 and canﾒt be blocked except by two or more creatures.,,U,DGM,2RG,3.775,7,Enchantment
,Krasis Incubation,Gld,"Enchant creature
Enchanted creature canﾒt attack or block, and its activated abilities canﾒt be activated.
%1%G%U, Return Krasis Incubation to its ownerﾒs hand: Put two +1/+1 counters on enchanted creature.",,U,DGM,2GU,3.654,7,Enchantment - Aura
,Punish the Enemy,R,Punish the Enemy deals 3 damage to target player and 3 damage to target creature.,,C,DGM,4R,2.948,13,Instant
,Aerial Predation,G,Destroy target creature with flying. You gain 2 life.,,C,RTR,2G,2.086,4,Instant
,Beck/Call,Gld,"Whenever a creature enters the battlefield this turn, you may draw a card.
//
Put four 1/1 white Bird creature tokens with flying onto the battlefield.
//
Fuse #(You may cast one or both halves of this card from your hand.)#",,R,DGM,GU/4WU,0.000,2,Sorcery/Sorcery
,Fervor,R,Creatures you control have haste. #(They can attack and %T as soon as they come under your control.)#,,R,M13,2R,4.169,1,Enchantment
,Martial Law,W,"At the beginning of your upkeep, detain target creature an opponent controls. #(Until your next turn, that creature canﾒt attack or block and its activated abilities canﾒt be activated.)#",,R,RTR,2WW,3.833,4,Enchantment
,Rootborn Defenses,W,"Populate. Creatures you control are indestructible this turn. #(To populate, put a token onto the battlefield thatﾒs a copy of a creature token you control. Damage and effects that say ﾓdestroyﾔ donﾒt destroy indestructible creatures.)#",,C,RTR,2W,3.822,6,Instant
,Azorius Cluestone,Art,"%T: Add %W or %U to your mana pool.
%W%U, %T, Sacrifice Azorius Cluestone: Draw a card.",,C,DGM,3,2.595,16,Artifact
,Essence Backlash,Gld,Counter target creature spell. Essence Backlash deals damage equal to that spellﾒs power to its controller.,,C,RTR,2UR,3.000,4,Instant
,Boros Charm,Gld,Choose one ﾗ Boros Charm deals 4 damage to target player; or permanents you control are indestructible this turn; or target creature gains double strike until end of turn.,,U,GTC,RW,3.979,2,Instant
,Legion's Initiative,Gld,"Red creatures you control get +1/+0.
White creatures you control get +0/+1.
%R%W, Exile Legionﾒs Initiative: Exile all creatures you control. At the beginning of the next combat, return those cards to the battlefield under their ownerﾒs control and those creatures gain haste until end of turn.",,M,DGM,RW,3.821,2,Enchantment
,Warleader's Helix,Gld,Warleaderﾒs Helix deals 4 damage to target creature or player and you gain 4 life.,,U,DGM,2RW,3.785,5,Instant
,Executioner's Swing,Gld,Target creature that dealt damage this turn gets -5/-5 until end of turn.,,C,GTC,WB,2.815,2,Instant
,Dramatic Rescue,Gld,Return target creature to its ownerﾒs hand. You gain 2 life.,,C,RTR,WU,2.949,6,Instant
,Growing Ranks,Gld,"At the beginning of your upkeep, populate. #(Put a token onto the battlefield thatﾒs a copy of a creature token you control.)#",,R,RTR,2%A%A,3.818,1,Enchantment
,Awe for the Guilds,R,Monocolored creatures canﾒt block this turn.,,C,DGM,2R,1.908,13,Sorcery
,Deviant Glee,B,"Enchant creature
Enchanted creature gets +2/+1 and has ﾓ%R: This creature gains trample until end of turn.ﾔ",,C,RTR,B,3.380,5,Enchantment - Aura
,Destroy the Evidence,B,"Destroy target land. Its controller reveals cards from the top of his or her library until he or she reveals a land card, then puts those cards into his or her graveyard.",,C,RTR,4B,2.180,4,Sorcery
,Mindstatic,U,Counter target spell unless its controller pays %6.,,C,DGM,3U,1.564,14,Instant
,Izzet Guildgate,Lnd,"Izzet Guildgate enters the battlefield tapped.
%T: Add %U or %R to your mana pool.",,C,RTR,,3.000,14,Land - Gate
,Steam Vents,Lnd,"#(%T: Add %U or %R to your mana pool.)#
As Steam Vents enters the battlefield, you may pay 2 life. If you donﾒt, Steam Vents enters the battlefield tapped.",,R,RTR,,4.280,2,Land - Island Mountain
,Dimir Guildgate,Lnd,"Dimir Guildgate enters the battlefield tapped.
%T: Add %U or %B to your mana pool.",,C,GTC,,3.050,10,Land - Gate
,Simic Guildgate,Lnd,"Simic Guildgate enters the battlefield tapped.
%T: Add %G or %U to your mana pool.",,C,GTC,,3.150,13,Land - Gate
,Golgari Guildgate,Lnd,"Golgari Guildgate enters the battlefield tapped.
%T: Add %B or %G to your mana pool.",,C,DGM,,3.400,13,Land - Gate
,Tablet of the Guilds,Art,"As Tablet of the Guilds enters the battlefield, choose two colors.
Whenever you cast a spell, if itﾒs at least one of the chosen colors, you gain 1 life for each of the chosen colors it is.",,U,RTR,2,2.773,1,Artifact
,Cathars' Crusade,W,"Whenever a creature enters the battlefield under your control, put a +1/+1 counter on each creature you control.",,R,AVR,3WW,5,1,Enchantment
,Honor of the Pure,W,White creatures you control get +1/+1.,,R,M12,1W,3.458,5,Enchantment
,Endless Ranks of the Dead,B,"At the beginning of your upkeep, put X 2/2 black Zombie creature tokens onto the battlefield, where X is half the number of Zombies you control, rounded down.",,R,ISD,2BB,3.897,1,Enchantment
,Call to the Grave,B,"At the beginning of each playerﾒs upkeep, that player sacrifices a non-Zombie creature.
At the beginning of the end step, if no creatures are on the battlefield, sacrifice Call to the Grave.",,R,SC,4B,4.086,1,Enchantment
,Warren Weirding,B,"Target player sacrifices a creature. If a Goblin is sacrificed this way, that player puts two 1/1 black Goblin Rogue creature tokens onto the battlefield, and those tokens gain haste until end of turn.",,U,MOR,1B,4.324,2,Tribal Sorcery - Goblin
,Boggart Shenanigans,R,"Whenever another Goblin you control is put into a graveyard from the battlefield, you may have Boggart Shenanigans deal 1 damage to target player.",,U,LRW,2R,5,4,Tribal Enchantment - Goblin
,Blaze,R,Blaze deals X damage to target creature or player.,,U,10E,XR,3.158,2,Sorcery
,Goblin War Strike,R,Goblin War Strike deals damage equal to the number of Goblins you control to target player.,,C,P2,R,4.140,2,Sorcery
,Door of Destinies,Art,"As Door of Destinies enters the battlefield, choose a creature type.
Whenever you cast a spell of the chosen type, put a charge counter on Door of Destinies.
Creatures you control of the chosen type get +1/+1 for each charge counter on Door of Destinies.",,R,M14,4,3.786,1,Artifact
,Empty the Warrens,R,"Put two 1/1 red Goblin creature tokens onto the battlefield.
Storm #(When you cast this spell, copy it for each spell cast before it this turn.)#",,C,MMA,3R,4.523,1,Sorcery
,Increasing Vengeance,R,"Copy target instant or sorcery spell you control. If Increasing Vengeance was cast from a graveyard, copy that spell twice instead. You may choose new targets for the copies.
Flashback %3%R%R #(You may cast this card from your graveyard for its flashback cost. Then exile it.)#",,R,DKA,RR,3.862,2,Instant
,Memory Plunder,Gld,You may cast target instant or sorcery card from an opponentﾒs graveyard without paying its mana cost.,,R,SHM,%V%V%V%V,3.829,1,Instant
,Inexorable Tide,U,"Whenever you cast a spell, proliferate. #(You choose any number of permanents and/or players with counters on them, then give each another counter of a kind already there.)#",,R,SOM,3UU,5,1,Enchantment
,Prison Term,W,"Enchant creature
Enchanted creature canﾒt attack or block, and its activated abilities canﾒt be activated.
Whenever a creature enters the battlefield under an opponentﾒs control, you may attach Prison Term to that creature.",,U,HOP,1WW,3.789,1,Enchantment - Aura
,Vivid Crag,Lnd,"Vivid Crag enters the battlefield tapped with two charge counters on it.
%T: Add %R to your mana pool.
%T, Remove a charge counter from Vivid Crag: Add one mana of any color to your mana pool.",,U,LRW,,3.591,1,Land
,Encroaching Wastes,Lnd,"%T: Add %1 to your mana pool.
%4, %T, Sacrifice Encroaching Wastes: Destroy target nonbasic land.",,U,M14,,2.922,2,Land
,Blinding Beam,W,"Choose one ﾗ Tap two target creatures; or creatures donﾒt untap during target playerﾒs next untap step.
Entwine %1 #(Choose both if you pay the entwine cost.)#",,C,MMA,2W,3.458,3,Instant
,Feudkiller's Verdict,W,"You gain 10 life. Then if you have more life than an opponent, put a 5/5 white Giant Warrior creature token onto the battlefield.",,R,MOR,4WW,3.652,3,Tribal Sorcery - Giant
,Seafarer's Quay,Lnd,"Blue legendary creatures you control have ﾓbands with other legendary creatures.ﾔ #(Any legendary creatures can attack in a band as long as at least one has ﾓbands with other legendary creatures.ﾔ Bands are blocked as a group. If at least two legendary creatures you control, one of which has ﾓbands with other legendary creatures,ﾔ are blocking or being blocked by the same creature, you divide that creatureﾒs combat damage, not its controller, among any of the creatures itﾒs being blocked by or is blocking.)#",,U,LG,,1.297,3,Land
,Glacial Ray,R,"Glacial Ray deals 2 damage to target creature or player.
Splice onto Arcane %1%R #(As you cast an Arcane spell, you may reveal this card from your hand and pay its splice cost. If you do, add this cardﾒs effects to that spell.)#",,C,MMA,1R,3.944,2,Instant - Arcane
,Lava Spike,R,Lava Spike deals 3 damage to target player.,,C,CHK,R,4.141,3,Sorcery - Arcane
,Awaken the Ancient,R,"Enchant Mountain
Enchanted Mountain is a 7/7 red Giant creature with haste. Itﾒs still a land.",,R,M14,1RRR,3.658,1,Enchantment - Aura
,Kodama's Reach,G,"Search your library for up to two basic land cards, reveal those cards, and put one onto the battlefield tapped and the other into your hand. Then shuffle your library.",,C,MMA,2G,3.829,1,Sorcery - Arcane
,Oath of the Ancient Wood,G,"Whenever Oath of the Ancient Wood or another enchantment enters the battlefield under your control, you may put a +1/+1 counter on target creature.",,R,M14,2G,1.796,1,Enchantment
,Moldervine Cloak,G,"Enchant creature
Enchanted creature gets +3/+3.
Dredge 2 #(If you would draw a card, instead you may put exactly two cards from the top of your library into your graveyard. If you do, return this card from your graveyard to your hand. Otherwise, draw a card.)#",,U,RAV,2G,3.611,1,Enchantment - Aura
,Pyrite Spellbomb,Art,"%R, Sacrifice Pyrite Spellbomb: Pyrite Spellbomb deals 2 damage to target creature or player.
%1, Sacrifice Pyrite Spellbomb: Draw a card.",,C,MR,1,4.530,1,Artifact
,Dispeller's Capsule,W,"%2%W, %T, Sacrifice Dispellerﾒs Capsule: Destroy target artifact or enchantment.",,C,ALA,W,3.870,1,Artifact
,Sword of Light and Shadow,Art,"Equipped creature gets +2/+2 and has protection from white and from black.
Whenever equipped creature deals combat damage to a player, you gain 3 life and you may return up to one target creature card from your graveyard to your hand.
Equip %2",,M,MMA,3,4.500,1,Artifact - Equipment
,Breaking/Entering,Gld,"Target player puts the top eight cards of his or her library into his or her graveyard.
//
Put a creature card from a graveyard onto the battlefield under your control. It gains haste until end of turn.
//
Fuse #(You may cast one or both halves of this card from your hand.)#",,R,DGM,UB/4BR,0.000,5,Sorcery/Sorcery
,Dreadbore,Gld,Destroy target creature or planeswalker.,,R,RTR,BR,3.953,2,Sorcery
,Electrolyze,Gld,"Electrolyze deals 2 damage divided as you choose among one or two target creatures and/or players.
Draw a card.",,U,GP,1UR,5,1,Instant
,Epic Experiment,Gld,"Exile the top X cards of your library. For each instant and sorcery card with converted mana cost X or less among them, you may cast that card without paying its mana cost. Then put all cards exiled this way that werenﾒt cast into your graveyard.",,M,RTR,XUR,3.819,3,Sorcery
,Worm Harvest,Gld,"Put a 1/1 black and green Worm creature token onto the battlefield for each land card in your graveyard.
Retrace #(You may cast this card from your graveyard by discarding a land card in addition to paying its other costs.)#",,U,MMA,2%Q%Q%Q,3.870,1,Sorcery
,Pyromancer's Gauntlet,Art,"If a red instant or sorcery spell you control or a red planeswalker you control would deal damage to a permanent or player, it deals that much damage plus 2 to that permanent or player instead.",,R,M14,5,3.633,1,Artifact
,Trading Post,Art,"%1, %T, Discard a card: You gain 4 life.
%1, %T, Pay 1 life: Put a 0/1 white Goat creature token onto the battlefield.
%1, %T, Sacrifice a creature: Return target artifact card from your graveyard to your hand.
%1, %T, Sacrifice an artifact: Draw a card.",,R,M14,4,0.000,1,Artifact
,Staff of the Mind Magus,Art,"Whenever you cast a blue spell or an Island enters the battlefield under your control, you gain 1 life.",,U,M14,3,1.400,4,Artifact
,Staff of the Flame Magus,Art,"Whenever you cast a red spell or a Mountain enters the battlefield under your control, you gain 1 life.",,U,M14,3,1.417,1,Artifact
,Staff of the Death Magus,Art,"Whenever you cast a black spell or a Swamp enters the battlefield under your control, you gain 1 life.",,U,M14,3,1.700,1,Artifact
,Strionic Resonator,Art,"%2, %T: Copy target triggered ability you control. You may choose new targets for the copy. #(A triggered ability uses the words ﾓwhen,ﾔ ﾓwhenever,ﾔ or ﾓat.ﾔ)#",,R,M14,2,3.846,1,Artifact
,Ratchet Bomb,Art,"%T: Put a charge counter on Ratchet Bomb.
%T, Sacrifice Ratchet Bomb: Destroy each nonland permanent with converted mana cost equal to the number of charge counters on Ratchet Bomb.",,R,M14,2,4.425,2,Artifact
,Vial of Poison,Art,"%1, Sacrifice Vial of Poison: Target creature gains deathtouch until end of turn. #(Any amount of damage it deals to a creature is enough to destroy it.)#",,U,M14,1,2.985,2,Artifact
,Congregate,W,Target player gains 2 life for each creature on the battlefield.,,C,HOP,3W,2.800,7,Instant
,Fortify,W,Choose one ﾗ Creatures you control get +2/+0 until end of turn; or creatures you control get +0/+2 until end of turn.,,C,M14,2W,5,7,Instant
,Celestial Flare,W,Target player sacrifices an attacking or blocking creature.,,C,M14,WW,5,7,Instant
,Test of Faith,W,"Prevent the next 3 damage that would be dealt to target creature this turn, and put a +1/+1 counter on that creature for each 1 damage prevented this way.",,U,DS,1W,3.940,2,Instant
,Show of Valor,W,Target creature gets +2/+4 until end of turn.,,C,M13,1W,2.607,18,Instant
,Otherworldly Journey,W,"Exile target creature. At the beginning of the next end step, return that card to the battlefield under its ownerﾒs control with a +1/+1 counter on it.",,C,MMA,1W,5,6,Instant - Arcane
,Silence,W,Your opponents canﾒt cast spells this turn. #(Spells cast before this resolves are unaffected.)#,,R,M11,W,4.250,3,Instant
,Pay No Heed,W,Prevent all damage a source of your choice would deal this turn.,,C,TO,W,2.909,11,Instant
,Brave the Elements,W,"Choose a color. White creatures you control gain protection from the chosen color until end of turn. #(They canﾒt be blocked, targeted, dealt damage, or enchanted by anything of that color.)#",,U,M14,W,5,4,Instant
,Devout Invocation,W,Tap any number of untapped creatures you control. Put a 4/4 white Angel creature token with flying onto the battlefield for each creature tapped this way.,,M,M14,6W,3.637,1,Sorcery
